participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,check_practice.thisRepN,check_practice.thisTrialN,check_practice.thisN,check_practice.thisIndex,check_practice.ran,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,right,0,4.652,0,0,0,1,1,spatial,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,up,0,3.275,0,1,1,0,1,feature,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,right,0,1.996,0,2,2,2,1,neither,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,up,0,1.859,1,0,3,2,1,neither,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,left,0,1.901,1,1,4,0,1,feature,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,up,0,1.35,1,2,5,1,1,spatial,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,left,0,1.248,2,0,6,0,1,feature,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,right,0,1.559,2,1,7,1,1,spatial,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,up,0,1.74,2,2,8,2,1,neither,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,left,0,1.211,0,0,0,0,1,feature,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,up,0,1.741,0,1,1,2,1,neither,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,right,0,1.379,0,2,2,1,1,spatial,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,right,0,1.409,1,0,3,1,1,spatial,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,up,0,2.161,1,1,4,2,1,neither,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,left,0,1.145,1,2,5,0,1,feature,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,left,0,0.965,2,0,6,0,1,feature,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,right,0,0.952,2,1,7,1,1,spatial,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,up,0,1.782,2,2,8,2,1,neither,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,m,left,1,3.402,0,0,0,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,m,right,1,1.089,0,1,1,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,m,up,1,1.275,0,2,2,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,m,right,1,1.527,1,0,3,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,m,left,1,2.036,1,1,4,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,m,up,1,1.351,1,2,5,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,m,right,1,1.073,2,0,6,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,m,left,1,1.14,2,1,7,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,m,up,1,1.351,2,2,8,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,m,up,1,3.08,3,0,9,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,m,right,1,0.882,3,1,10,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,m,left,1,1.192,3,2,11,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,m,,,,,,,,,0,0,0,0,1
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,1.332,0,0,0,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,1.101,0,1,1,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,1.615,0,2,2,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,right,0,1.19,1,0,3,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,2.166,1,1,4,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,1.971,1,2,5,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,0.93,2,0,6,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,1.558,2,1,7,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,1.103,2,2,8,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,1.641,3,0,9,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,1.333,3,1,10,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,1.569,3,2,11,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,p,,,,,,,,,0,1,1,1,1
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,1.37,0,0,0,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,1.035,0,1,1,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,1.182,0,2,2,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,1.333,1,0,3,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,0.954,1,1,4,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,1.768,1,2,5,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,1.743,2,0,6,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,0.976,2,1,7,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,0.794,2,2,8,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,0.774,3,0,9,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,1.224,3,1,10,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,1.539,3,2,11,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,p,,,,,,,,,1,0,2,1,1
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,m,left,1,1.38,0,0,0,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,m,right,1,0.868,0,1,1,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,m,up,1,0.967,0,2,2,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,m,up,1,1.37,1,0,3,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,m,left,1,1.481,1,1,4,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,m,right,1,0.939,1,2,5,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,m,left,1,1.486,2,0,6,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,m,right,1,1.594,2,1,7,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,m,up,1,0.802,2,2,8,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,m,left,1,0.959,3,0,9,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,m,right,1,1.134,3,1,10,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,m,up,1,1.427,3,2,11,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,,,,,,,,,,,,,,,,m,,,,,,,,,1,1,3,0,1
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,1.194,0,0,0,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,0.926,0,1,1,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,1.038,0,2,2,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,1.012,1,0,3,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,2.04,1,1,4,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,1.838,1,2,5,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,1.35,2,0,6,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,0.986,2,1,7,1,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,0.836,2,2,8,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,up,,,,,,,,,neither,,,,,,p,up,1,1.965,3,0,9,2,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,left,,,,,,,,,feature,,,,,,p,left,1,0.823,3,1,10,0,1,,,,,
5c9cd29f8058d10001ca7a96,04-05-2023_20h44.51.765,supdoc_online,2022.2.5,Win32,59.95203837,right,,,,,,,,,spatial,,,,,,p,right,1,1.175,3,2,11,1,1,,,,,
