participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran,key_resp.rt
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.53,1,1,4,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,right,0,1.596,1,2,5,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.233,2,0,6,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.513,2,1,7,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.434,2,2,8,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,up,0,2.114,3,0,9,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,1.504,3,1,10,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,left,0,0.798,3,2,11,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,p,,,,,,,,,space,2,1,5,1,1,21.511
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,up,0,1.5,0,0,0,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.015,0,1,1,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,1.052,0,2,2,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,left,0,1.399,1,0,3,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.312,1,1,4,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,right,0,1.084,1,2,5,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.184,2,0,6,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.032,2,1,7,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,1.404,2,2,8,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,0.949,3,0,9,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.521,3,1,10,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.48,3,2,11,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,p,,,,,,,,,,3,0,6,1,1,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.529,0,0,0,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,2.101,0,1,1,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.18,0,2,2,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,right,0,1.104,1,0,3,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.372,1,1,4,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.515,1,2,5,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,up,0,1.75,2,0,6,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,left,1,2.349,2,1,7,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.248,2,2,8,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.263,3,0,9,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.047,3,1,10,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.045,3,2,11,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,m,,,,,,,,,space,3,1,7,0,1,14.824
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,right,0,1.112,0,0,0,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,0.995,0,1,1,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.096,0,2,2,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,up,0,1.03,1,0,3,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,left,0,1.687,1,1,4,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.315,1,2,5,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.271,2,0,6,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,1.452,2,1,7,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.032,2,2,8,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.538,3,0,9,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.052,3,1,10,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.219,3,2,11,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,p,,,,,,,,,,4,0,8,1,1,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.532,0,0,0,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.722,0,1,1,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.128,0,2,2,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,0.994,1,0,3,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,left,1,1.046,1,1,4,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.751,1,2,5,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,left,1,1.079,2,0,6,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.429,2,1,7,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,0.867,2,2,8,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,up,1,1.236,3,0,9,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.414,3,1,10,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,0.967,3,2,11,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,m,,,,,,,,,space,4,1,9,0,1,14.294
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.848,0,0,0,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,right,0,1.666,0,1,1,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.298,0,2,2,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,left,0,0.738,1,0,3,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.163,1,1,4,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,right,0,1.012,1,2,5,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.152,2,0,6,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,0.999,2,1,7,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,0.862,2,2,8,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.029,3,0,9,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,0.931,3,1,10,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.445,3,2,11,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,m,,,,,,,,,,5,0,10,0,1,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.8,0,0,0,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.148,0,1,1,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,1.687,0,2,2,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.453,1,0,3,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,0.985,1,1,4,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.328,1,2,5,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,0.979,2,0,6,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,right,0,1.681,2,1,7,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,left,1,1.981,2,2,8,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,p,right,1,1.205,3,0,9,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,p,up,1,1.097,3,1,10,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,p,right,0,1.269,3,2,11,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,p,,,,,,,,,space,5,1,11,1,1,12.928
