X Scale,Y Scale,catch_pTarget,catch_pProbe,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Ftrials.thisRepN,prac_Ftrials.thisTrialN,prac_Ftrials.thisN,prac_Ftrials.thisIndex,prac_Ftrials.ran,targetID,imFile,imFile2,corr,trial_type,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,diff_pTarget,diff_pProbe,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,same_target,same_probe,face_loop_set1.thisRepN,face_loop_set1.thisTrialN,face_loop_set1.thisN,face_loop_set1.thisIndex,face_loop_set1.ran,catch_target,catch_probe,diff_target,diff_probe,face_loop_set2.thisRepN,face_loop_set2.thisTrialN,face_loop_set2.thisN,face_loop_set2.thisIndex,face_loop_set2.ran,face_loop_set3.thisRepN,face_loop_set3.thisTrialN,face_loop_set3.thisN,face_loop_set3.thisIndex,face_loop_set3.ran
0.0494,0.0482,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,0,d,1,1.1964,0,0,0,0,1,102,catch_target,catch_probe,d,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.7641,0,1,1,1,1,1,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CM0015_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0031_1100.jpg,Stimuli/Faces/CM0031_1100.jpg,0,s,1,0.6107,0,2,2,2,1,96,catch_target,catch_probe,s,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.6603,0,3,3,3,1,84,Stimuli/Faces/CM0029_2200.jpg,Stimuli/Faces/CM0029_2200.jpg,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CM0039_3300.jpg,Stimuli/Faces/CM0039_3300.jpg,0,s,1,0.6659,0,4,4,4,1,97,catch_target,catch_probe,s,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0046_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,0,d,1,0.5698,0,5,5,5,1,103,catch_target,catch_probe,d,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.6707,0,6,6,6,1,73,Stimuli/Faces/CM0005_1100.jpg,Stimuli/Faces/CM0005_1100.jpg,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0040_1110.jpg,Stimuli/Faces/CF0040_1110.jpg,0,s,1,0.5215,0,7,7,7,1,98,catch_target,catch_probe,s,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.7019,0,8,8,8,1,0,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CF0016_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Faces/CF0023_1100.jpg,Stimuli/Faces/CF0057_1100.jpg,0,s,0,0.8481,0,9,9,9,1,104,catch_target,catch_probe,d,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,0.8568,0,10,10,10,1,60,Stimuli/Faces/CF0026_1110.jpg,Stimuli/Faces/CF0026_1110.jpg,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CM0040_1100.jpg,Stimuli/Faces/CM0040_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,d,1,0.6569,0,11,11,11,1,2,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,Stimuli/Faces/CM0040_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,c,14.2954,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
,,,,0,s,1,1.0179,,,,,,22,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0025_1100.jpg,Stimuli/Faces/CM0025_1100.jpg,0,0,0,22,1,,,,,,,,,,,,,,
,,,,0,s,1,0.701,,,,,,18,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0044_1100.jpg,Stimuli/Faces/CM0044_1100.jpg,0,1,1,18,1,,,,,,,,,,,,,,
,,,,0,s,1,0.7616,,,,,,32,catch_target,catch_probe,s,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,2,2,32,1,Stimuli/Faces/CF0007_1100.jpg,Stimuli/Faces/CF0007_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,1.0245,,,,,,11,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,3,3,11,1,,,Stimuli/Faces/CM0007_1100.jpg,Stimuli/Faces/CM0025_1100.jpg,,,,,,,,,,
,,,,0,s,0,0.6705,,,,,,9,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,4,4,9,1,,,Stimuli/Faces/CF0016_1100.jpg,Stimuli/Faces/CM0044_1100.jpg,,,,,,,,,,
,,,,0,s,0,0.7975,,,,,,14,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,5,5,14,1,,,Stimuli/Faces/CM0005_1100.jpg,Stimuli/Faces/CM0011_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.7593,,,,,,3,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,6,6,3,1,,,Stimuli/Faces/CF0040_1110.jpg,Stimuli/Faces/CF0035_1100.jpg,,,,,,,,,,
,,,,0,s,1,1.0866,,,,,,33,catch_target,catch_probe,s,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,7,7,33,1,Stimuli/Faces/CM0028_1100.jpg,Stimuli/Faces/CM0028_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.6688,,,,,,7,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,8,8,7,1,,,Stimuli/Faces/CF0050_1100.jpg,Stimuli/Faces/CF0052_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.6044,,,,,,35,catch_target,catch_probe,d,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,9,9,35,1,Stimuli/Faces/CF0055_1100.jpg,Stimuli/Faces/CM0010_1100.jpg,,,,,,,,,,,,
,,,,0,d,1,0.8428,,,,,,6,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,10,10,6,1,,,Stimuli/Faces/CF0046_1100.jpg,Stimuli/Faces/CM0015_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.6255,,,,,,4,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,11,11,4,1,,,Stimuli/Faces/CM0011_1100.jpg,Stimuli/Faces/CM0010_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.5938,,,,,,0,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,12,12,0,1,,,Stimuli/Faces/CF0032_1100.jpg,Stimuli/Faces/CF0034_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.547,,,,,,34,catch_target,catch_probe,d,c,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,13,13,34,1,Stimuli/Faces/CM0025_1100.jpg,Stimuli/Faces/CM0015_1100.jpg,,,,,,,,,,,,
,,,,0,s,1,0.622,,,,,,26,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0011_1100.jpg,Stimuli/Faces/CM0011_1100.jpg,0,14,14,26,1,,,,,,,,,,,,,,
,,,,0,d,1,0.5618,,,,,,2,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,15,15,2,1,,,Stimuli/Faces/CM0009_1100.jpg,Stimuli/Faces/CF0026_1110.jpg,,,,,,,,,,
,,,,0,s,1,0.6111,,,,,,31,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0035_1100.jpg,Stimuli/Faces/CF0035_1100.jpg,0,16,16,31,1,,,,,,,,,,,,,,
,,,,0,d,1,0.5669,,,,,,1,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,17,17,1,1,,,Stimuli/Faces/CM0040_1100.jpg,Stimuli/Faces/CM0047_1100.jpg,,,,,,,,,,
,,,,0,s,1,0.6593,,,,,,23,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0052_1100.jpg,Stimuli/Faces/CF0052_1100.jpg,0,18,18,23,1,,,,,,,,,,,,,,
,,,,0,d,0,0.7336,,,,,,28,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0015_1100.jpg,Stimuli/Faces/CM0015_1100.jpg,0,19,19,28,1,,,,,,,,,,,,,,
,,,,0,d,1,0.7081,,,,,,13,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,20,20,13,1,,,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CM0009_1100.jpg,,,,,,,,,,
,,,,0,s,1,0.6171,,,,,,17,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0010_1100.jpg,Stimuli/Faces/CM0010_1100.jpg,0,21,21,17,1,,,,,,,,,,,,,,
,,,,0,s,1,0.4504,,,,,,30,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0034_1100.jpg,Stimuli/Faces/CF0034_1100.jpg,0,22,22,30,1,,,,,,,,,,,,,,
,,,,0,s,1,1.0689,,,,,,25,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0026_1110.jpg,Stimuli/Faces/CF0026_1110.jpg,0,23,23,25,1,,,,,,,,,,,,,,
,,,,0,s,1,0.5295,,,,,,27,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0047_1100.jpg,Stimuli/Faces/CM0047_1100.jpg,0,24,24,27,1,,,,,,,,,,,,,,
,,,,0,s,1,0.6379,,,,,,19,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0009_1100.jpg,Stimuli/Faces/CM0009_1100.jpg,0,25,25,19,1,,,,,,,,,,,,,,
,,,,0,d,1,0.6117,,,,,,12,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,26,26,12,1,,,Stimuli/Faces/CM0025_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.6606,,,,,,10,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,27,27,10,1,,,Stimuli/Faces/CM0028_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.6919,,,,,,8,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,28,28,8,1,,,Stimuli/Faces/CM0048_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,,,,,,,,,,
,,,,0,s,1,0.7695,,,,,,16,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0050_1100.jpg,0,29,29,16,1,,,,,,,,,,,,,,
,,,,0,s,1,0.6275,,,,,,21,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CM0045_1100.jpg,0,30,30,21,1,,,,,,,,,,,,,,
,,,,0,s,1,1.1992,,,,,,20,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0020_1100.jpg,Stimuli/Faces/CF0020_1100.jpg,0,31,31,20,1,,,,,,,,,,,,,,
,,,,0,s,1,0.9579,,,,,,29,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0031_1100.jpg,Stimuli/Faces/CM0031_1100.jpg,0,32,32,29,1,,,,,,,,,,,,,,
,,,,0,s,1,0.9358,,,,,,24,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0029_1100.jpg,Stimuli/Faces/CM0029_1100.jpg,0,33,33,24,1,,,,,,,,,,,,,,
,,,,0,s,0,0.6067,,,,,,15,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,34,34,15,1,,,Stimuli/Faces/CF0058_1100.jpg,Stimuli/Faces/CM0031_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.5554,,,,,,5,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,0,35,35,5,1,,,Stimuli/Faces/CM0050_1100.jpg,Stimuli/Faces/CM0029_1100.jpg,,,,,,,,,,
,,,,0,d,1,0.6864,,,,,,37,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,Stimuli/Faces/CF0034_1100.jpg,Stimuli/Faces/CF0010_1100.jpg,0,0,0,1,1,,,,,
,,,,0,s,1,0.6179,,,,,,52,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0010_1100.jpg,Stimuli/Faces/CF0010_1100.jpg,,,,,,,,,,0,1,1,16,1,,,,,
,,,,0,d,1,1.0509,,,,,,46,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0044_1100.jpg,Stimuli/Faces/CF0023_1100.jpg,0,2,2,10,1,,,,,
,,,,0,s,1,0.727,,,,,,65,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0023_1100.jpg,Stimuli/Faces/CF0023_1100.jpg,,,,,,,,,,0,3,3,29,1,,,,,
,,,,0,s,1,0.5184,,,,,,67,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0058_1100.jpg,Stimuli/Faces/CF0058_1100.jpg,,,,,,,,,,0,4,4,31,1,,,,,
,,,,0,s,1,0.6155,,,,,,54,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CM0041_1100.jpg,Stimuli/Faces/CM0041_1100.jpg,,,,,,,,,,0,5,5,18,1,,,,,
,,,,0,s,1,1.0195,,,,,,60,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0009_1100.jpg,Stimuli/Faces/CF0009_1100.jpg,,,,,,,,,,0,6,6,24,1,,,,,
,,,,0,d,1,0.7666,,,,,,48,rand_face,rand_face,d,d,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,,,,,,,,,,Stimuli/Faces/CM0045_1100.jpg,Stimuli/Faces/CF0058_1100.jpg,0,7,7,12,1,,,,,
,,,,0,s,1,1.2192,,,,,,62,same_face,same_face,s,s,BI,,1,0.05,0.05,2023-06-28_15h29.01.736,02_face_task,2020.2.4,Win32,60,1664,1110,,,,,,,,,,Stimuli/Faces/CF0007_1100.jpg,Stimuli/Faces/CF0007_1100.jpg,,,,,,,,,,0,8,8,26,1,,,,,
