X Scale,Y Scale,catch_pTarget,catch_pProbe,Pimage1,Pimage2,xPosition,FW_resp.keys,FW_resp.corr,FW_resp.rt,prac_Wtrials.thisRepN,prac_Wtrials.thisTrialN,prac_Wtrials.thisN,prac_Wtrials.thisIndex,prac_Wtrials.ran,trialID,imFile,imFile2,corr,diff,participant,position,screen,x_scale,y_scale,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,eval_prac_resp.keys,eval_prac_resp.rt,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,repeat_prac.ran,image1,image2,corr_acc,word_loop_set1.thisRepN,word_loop_set1.thisTrialN,word_loop_set1.thisN,word_loop_set1.thisIndex,word_loop_set1.ran,catch_target,catch_probe,key_resp_3.keys,key_resp_3.rt,word_loop_set2.thisRepN,word_loop_set2.thisTrialN,word_loop_set2.thisN,word_loop_set2.thisIndex,word_loop_set2.ran,word_loop_set3.thisRepN,word_loop_set3.thisTrialN,word_loop_set3.thisN,word_loop_set3.thisIndex,word_loop_set3.ran
0.0358,0.0367,Stimuli/Words/word48.jpg,Stimuli/Words/word47.jpg,Stimuli/Words/word48.jpg,Stimuli/Words/word47.jpg,0,d,1,1.271,0,0,0,0,1,117,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word22.jpg,Stimuli/Words/word21.jpg,Stimuli/Words/word22.jpg,Stimuli/Words/word21.jpg,0,d,1,0.768,0,1,1,1,1,116,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word09.jpg,Stimuli/Words/word10.jpg,0,d,1,0.602,0,2,2,2,1,108,Stimuli/Words/word47.jpg,Stimuli/Words/word48.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word12.jpg,Stimuli/Words/word11.jpg,0,s,0,1.417,0,3,3,3,1,90,Stimuli/Words/word09.jpg,Stimuli/Words/word10.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word47.jpg,Stimuli/Words/word48.jpg,0,d,1,0.767,0,4,4,4,1,93,Stimuli/Words/word12.jpg,Stimuli/Words/word11.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word40.jpg,Stimuli/Words/word40.jpg,Stimuli/Words/word40.jpg,Stimuli/Words/word40.jpg,0,s,1,0.56,0,5,5,5,1,118,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,0,s,1,0.654,0,6,6,6,1,46,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word43.jpg,Stimuli/Words/word43.jpg,0,s,1,0.45,0,7,7,7,1,2,Stimuli/Words/word07.jpg,Stimuli/Words/word07.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word05.jpg,Stimuli/Words/word05.jpg,Stimuli/Words/word05.jpg,Stimuli/Words/word05.jpg,0,s,1,0.736,0,8,8,8,1,121,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word04.jpg,Stimuli/Words/word04.jpg,Stimuli/Words/word04.jpg,Stimuli/Words/word04.jpg,0,s,1,0.473,0,9,9,9,1,120,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stimuli/Words/word52.jpg,Stimuli/Words/word51.jpg,Stimuli/Words/word52.jpg,Stimuli/Words/word51.jpg,0,d,1,0.52,0,10,10,10,1,119,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stimuli/Words/word07.jpg,Stimuli/Words/word07.jpg,0,s,1,0.518,0,11,11,11,1,16,Stimuli/Words/word33.jpg,Stimuli/Words/word33.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,c,6.401,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,s,1,0.619,,,,,,60,Stimuli/Words/word07.jpg,Stimuli/Words/word08.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word36.jpg,Stimuli/Words/word36.jpg,s,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.538,,,,,,41,Stimuli/Words/word18.jpg,Stimuli/Words/word18.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word49.jpg,Stimuli/Words/word49.jpg,s,0,1,1,1,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.59,,,,,,27,Stimuli/Words/word56.jpg,Stimuli/Words/word56.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word09.jpg,Stimuli/Words/word10.jpg,d,0,2,2,2,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.767,,,,,,26,Stimuli/Words/word55.jpg,Stimuli/Words/word55.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word48.jpg,Stimuli/Words/word48.jpg,s,0,3,3,3,1,,,,,,,,,,,,,,
,,,,,,0,s,0,0.477,,,,,,83,Stimuli/Words/word54.jpg,Stimuli/Words/word53.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word07.jpg,Stimuli/Words/word08.jpg,d,0,4,4,4,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.786,,,,,,32,Stimuli/Words/word09.jpg,Stimuli/Words/word09.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word47.jpg,Stimuli/Words/word48.jpg,d,0,5,5,5,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.62,,,,,,115,Stimuli/Words/word58.jpg,Stimuli/Words/word57.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word58.jpg,Stimuli/Words/word57.jpg,d,0,6,6,6,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.418,,,,,,97,Stimuli/Words/word16.jpg,Stimuli/Words/word15.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word52.jpg,Stimuli/Words/word51.jpg,d,0,7,7,7,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.495,,,,,,63,Stimuli/Words/word22.jpg,Stimuli/Words/word21.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word41.jpg,Stimuli/Words/word42.jpg,d,0,8,8,8,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.47,,,,,,105,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word48.jpg,Stimuli/Words/word47.jpg,d,0,9,9,9,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.684,,,,,,51,Stimuli/Words/word48.jpg,Stimuli/Words/word48.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word22.jpg,Stimuli/Words/word21.jpg,d,0,10,10,10,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.771,,,,,,102,Stimuli/Words/word41.jpg,Stimuli/Words/word42.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word37.jpg,Stimuli/Words/word38.jpg,d,0,11,11,11,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.604,,,,,,45,Stimuli/Words/word42.jpg,Stimuli/Words/word42.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word29.jpg,Stimuli/Words/word29.jpg,s,0,12,12,12,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.5,,,,,,119,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word43.jpg,Stimuli/Words/word44.jpg,d,0,13,13,13,1,Stimuli/Words/word43.jpg,Stimuli/Words/word44.jpg,,,,,,,,,,,,
,,,,,,0,s,1,0.641,,,,,,108,Stimuli/Words/word47.jpg,Stimuli/Words/word48.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word09.jpg,Stimuli/Words/word09.jpg,s,0,14,14,14,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.641,,,,,,113,Stimuli/Words/word52.jpg,Stimuli/Words/word51.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word03.jpg,Stimuli/Words/word04.jpg,d,0,15,15,15,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.6,,,,,,70,Stimuli/Words/word29.jpg,Stimuli/Words/word30.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word56.jpg,Stimuli/Words/word56.jpg,s,0,16,16,16,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.739,,,,,,117,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word26.jpg,Stimuli/Words/word26.jpg,s,0,17,17,17,1,Stimuli/Words/word26.jpg,Stimuli/Words/word26.jpg,,,,,,,,,,,,
,,,,,,0,s,1,0.888,,,,,,5,Stimuli/Words/word22.jpg,Stimuli/Words/word22.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word55.jpg,Stimuli/Words/word55.jpg,s,0,18,18,18,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.627,,,,,,116,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word24.jpg,Stimuli/Words/word23.jpg,d,0,19,19,19,1,Stimuli/Words/word24.jpg,Stimuli/Words/word23.jpg,,,,,,,,,,,,
,,,,,,0,d,1,0.868,,,,,,52,Stimuli/Words/word49.jpg,Stimuli/Words/word49.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word36.jpg,Stimuli/Words/word35.jpg,d,0,20,20,20,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.504,,,,,,19,Stimuli/Words/word36.jpg,Stimuli/Words/word36.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word11.jpg,Stimuli/Words/word12.jpg,d,0,21,21,21,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.9,,,,,,88,Stimuli/Words/word03.jpg,Stimuli/Words/word04.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word54.jpg,Stimuli/Words/word53.jpg,d,0,22,22,22,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.552,,,,,,118,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word41.jpg,Stimuli/Words/word41.jpg,s,0,23,23,23,1,Stimuli/Words/word41.jpg,Stimuli/Words/word41.jpg,,,,,,,,,,,,
,,,,,,0,d,1,0.537,,,,,,79,Stimuli/Words/word38.jpg,Stimuli/Words/word37.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word38.jpg,Stimuli/Words/word37.jpg,d,0,24,24,24,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.434,,,,,,92,Stimuli/Words/word11.jpg,Stimuli/Words/word12.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word25.jpg,Stimuli/Words/word26.jpg,d,0,25,25,25,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.852,,,,,,90,Stimuli/Words/word09.jpg,Stimuli/Words/word10.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word29.jpg,Stimuli/Words/word30.jpg,d,0,26,26,26,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.602,,,,,,33,Stimuli/Words/word10.jpg,Stimuli/Words/word10.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word16.jpg,Stimuli/Words/word15.jpg,d,0,27,27,27,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.609,,,,,,39,Stimuli/Words/word16.jpg,Stimuli/Words/word16.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word16.jpg,Stimuli/Words/word16.jpg,s,0,28,28,28,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.835,,,,,,37,Stimuli/Words/word14.jpg,Stimuli/Words/word14.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word10.jpg,Stimuli/Words/word10.jpg,s,0,29,29,29,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.555,,,,,,78,Stimuli/Words/word37.jpg,Stimuli/Words/word38.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word18.jpg,Stimuli/Words/word18.jpg,s,0,30,30,30,1,,,,,,,,,,,,,,
,,,,,,0,d,1,0.54,,,,,,77,Stimuli/Words/word36.jpg,Stimuli/Words/word35.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word44.jpg,Stimuli/Words/word43.jpg,d,0,31,31,31,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.968,,,,,,24,Stimuli/Words/word53.jpg,Stimuli/Words/word53.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word14.jpg,Stimuli/Words/word14.jpg,s,0,32,32,32,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.685,,,,,,109,Stimuli/Words/word48.jpg,Stimuli/Words/word47.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word53.jpg,Stimuli/Words/word53.jpg,s,0,33,33,33,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.734,,,,,,12,Stimuli/Words/word29.jpg,Stimuli/Words/word29.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word42.jpg,Stimuli/Words/word42.jpg,s,0,34,34,34,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.646,,,,,,66,Stimuli/Words/word25.jpg,Stimuli/Words/word26.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word22.jpg,Stimuli/Words/word22.jpg,s,0,35,35,35,1,,,,,,,,,,,,,,
,,,,,,0,s,1,0.658,,,,,,93,Stimuli/Words/word12.jpg,Stimuli/Words/word11.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word34.jpg,Stimuli/Words/word34.jpg,s,,,,,,,,space,11.189,0,0,0,0,1,,,,,
,,,,,,0,s,1,0.658,,,,,,121,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word47.jpg,Stimuli/Words/word47.jpg,s,,,,,,Stimuli/Words/word47.jpg,Stimuli/Words/word47.jpg,,,0,1,1,1,1,,,,,
,,,,,,0,d,1,0.754,,,,,,71,Stimuli/Words/word30.jpg,Stimuli/Words/word29.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word05.jpg,Stimuli/Words/word06.jpg,d,,,,,,,,,,0,2,2,2,1,,,,,
,,,,,,0,s,1,0.719,,,,,,11,Stimuli/Words/word28.jpg,Stimuli/Words/word28.jpg,s,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word06.jpg,Stimuli/Words/word06.jpg,s,,,,,,,,,,0,3,3,3,1,,,,,
,,,,,,0,d,1,1.404,,,,,,72,Stimuli/Words/word31.jpg,Stimuli/Words/word32.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word26.jpg,Stimuli/Words/word25.jpg,d,,,,,,,,,,0,4,4,4,1,,,,,
,,,,,,0,s,0,0.567,,,,,,58,Stimuli/Words/word05.jpg,Stimuli/Words/word06.jpg,d,second,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word12.jpg,Stimuli/Words/word11.jpg,d,,,,,,,,,,0,5,5,5,1,,,,,
,,,,,,0,s,1,0.651,,,,,,53,Stimuli/Words/word50.jpg,Stimuli/Words/word50.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word24.jpg,Stimuli/Words/word24.jpg,s,,,,,,,,,,0,6,6,6,1,,,,,
,,,,,,0,s,1,0.487,,,,,,91,Stimuli/Words/word10.jpg,Stimuli/Words/word09.jpg,d,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word32.jpg,Stimuli/Words/word32.jpg,s,,,,,,,,,,0,7,7,7,1,,,,,
,,,,,,0,s,1,0.749,,,,,,48,Stimuli/Words/word45.jpg,Stimuli/Words/word45.jpg,s,third,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word12.jpg,Stimuli/Words/word12.jpg,s,,,,,,,,,,0,8,8,8,1,,,,,
,,,,,,0,d,1,0.634,,,,,,120,CatchTrial,CatchTrial,c,CatchTrials,FO,,1,0.05,0.05,2023-05-09_15h42.30.425,01_word_task,2020.2.4,MacIntel,60,1920,1080,,,,,,,,Stimuli/Words/word40.jpg,Stimuli/Words/word39.jpg,d,,,,,,Stimuli/Words/word40.jpg,Stimuli/Words/word39.jpg,,,0,9,9,9,1,,,,,
